,Value
0,-130.91184485565276
1,-121.07471534673869
2,-165.72999191312442
3,-123.69087767396749
4,-131.97647891246987
5,-153.3232197046159
6,-133.41549671078775
7,-132.43101921274857
8,-130.00568808925982
9,-137.48242376729502
10,-90.9509487923577
11,-87.26402727162673
12,-133.5516592832158
13,-155.768605297209
14,-126.67132690317366
15,-120.89596875976049
16,-147.83514523157936
17,-118.80589292599434
18,-108.51613760014197
19,-91.68956751467279
20,-123.45618443017322
21,-122.94958824012356
22,-147.07409495395507
23,-128.47452380704766
24,-141.46356931603765
25,-136.149338272637
26,-126.6657614662536
27,-110.08631505925766
28,-113.40949362941701
29,-116.54556494815714
30,-109.65337582592747
31,-101.89499327725113
32,-116.90135573130017
33,-151.2730205534546
34,-143.27639421409546
35,-96.51279784012823
36,-145.64176867343625
37,-125.37943755611313
38,-91.17007041247004
39,-138.22487901935844
40,-95.9894402667494
41,-102.52964596795235
42,-119.57812416104962
43,-102.12327446773472
44,-113.84306409923445
45,-147.63907399753072
46,-129.31886672086767
47,-111.70032491815672
48,-128.89459471110143
49,-100.99853796870423
50,-116.88896984701007
51,-118.08812246076471
52,-105.15349089384458
53,-114.74438297169047
54,-136.17086712775964
55,-78.40038684674356
56,-106.44686734412241
57,-139.4115158021661
58,-146.92245496484776
59,-122.52788295599468
60,-98.22964727596926
61,-105.3445095702155
62,-106.8217894034132
63,-122.25566334235013
64,-88.62993484339165
65,-117.31482808605736
66,-102.61660427241705
67,-94.46780207197762
68,-127.90759300054224
69,-84.56895041465651
70,-122.77719943303983
71,-122.05375220872057
72,-119.15753639440932
73,-109.67092829790343
74,-118.83831041834694
75,-153.60031013461304
76,-106.82203302231035
77,-103.51544932168838
78,-103.83873158852525
79,-119.90476034217602
80,-105.24189486971238
81,-159.99741225285078
82,-127.29438776293372
83,-99.44128399311722
84,-96.57339954503297
85,-101.87812178980212
86,-160.93313770484636
87,-131.8695971255056
88,-100.1697296003058
89,-87.00456252254476
90,-94.04355202287182
91,-107.6572195402969
92,-103.6405553885186
93,-98.69139703441712
94,-108.47591045696352
95,-125.85641347662798
96,-90.78681424884134
97,-115.34502376343396
98,-106.83158058297185
99,-124.4740833557729
100,-87.20033863660163
101,-118.32228497469521
102,-66.40482867215928
103,-124.92331891699544
104,-117.21221213319674
105,-149.03182522460742
106,-105.76631687666327
107,-108.16690783951007
108,-113.01433929607182
109,-123.28440128848786
110,-100.44487949098696
111,-113.08782531914937
112,-114.76168080846935
113,-124.50381323528741
114,-104.82862169972948
115,-125.9383906968214
116,-129.70120418425773
117,-118.95258119023553
118,-125.03556221427664
119,-114.32842660138824
120,-99.29674142375292
121,-107.07674943632367
122,-101.39228489942764
123,-120.12580438734992
124,-91.31539852027039
125,-119.34933632208713
126,-104.59395942919619
127,-91.39635393187356
128,-104.5806576986217
129,-91.32611523144642
130,-127.60871657339469
131,-107.6488030666363
132,-141.18988527788866
133,-125.70083260916878
134,-119.76378287643146
135,-124.20618277020871
136,-121.73671380786843
137,-128.30910070338055
138,-104.11551299479774
139,-81.44890173611105
140,-158.74261035061312
141,-125.18923025419981
142,-140.7679536348832
143,-112.46752184903896
144,-128.29021972902265
145,-131.69755065589771
146,-99.86882407295849
147,-125.54530325300634
148,-99.60690633516232
149,-127.90149332661417
150,-100.77527568255803
151,-92.14961256515844
152,-122.52186430652955
153,-134.6820658364025
154,-140.15142774690997
155,-108.16534099485952
156,-117.73527775217238
157,-107.44990164324179
158,-91.44061185300966
159,-120.09343250437044
160,-91.33535109827633
161,-99.42379056805356
