,Value
0,-119.20184485565122
1,-121.68471534673861
2,-165.649991913125
3,-122.92087767396754
4,-130.19647891246944
5,-154.573219704616
6,-134.38549671078783
7,-131.68101921274905
8,-130.61568808926043
9,-137.29242376729448
10,-89.77094879235761
11,-86.71402727162683
12,-133.8716592832157
13,-155.32860529720932
14,-127.56132690317345
15,-119.98596875976057
16,-148.1451452315796
17,-117.71589292599451
18,-107.76613760014186
19,-91.28956751467285
20,-121.44618443017325
21,-120.62958824012367
22,-145.7540949539553
23,-126.92452380704817
24,-140.33356931603788
25,-134.55933827263692
26,-126.5957614662539
27,-109.63631505925741
28,-114.52949362941695
29,-117.46556494815752
30,-111.01337582592726
31,-100.84499327725108
32,-116.02135573130052
33,-150.77302055345461
34,-142.63639421409533
35,-96.66279784012829
36,-146.42176867343622
37,-124.01943755611285
38,-89.23007041247008
39,-138.33487901935808
40,-94.22944026674942
41,-100.7496459679524
42,-119.82812416104964
43,-102.70327446773472
44,-112.6430640992343
45,-147.18907399753087
46,-129.84886672086833
47,-111.48032491815653
48,-126.86459471110159
49,-101.3185379687047
50,-116.38896984701037
51,-117.57812246076472
52,-104.26349089384459
53,-116.27438297169071
54,-134.26086712775955
55,-77.21038684674345
56,-106.80686734412231
57,-137.28151580216647
58,-146.8524549648476
59,-122.07788295599467
60,-98.4096472759692
61,-105.11450957021546
62,-106.17178940341338
63,-121.22566334234996
64,-89.11993484339173
65,-116.93482808605764
66,-103.35660427241703
67,-94.5478020719777
68,-127.0275930005422
69,-85.20895041465637
70,-121.46719943303978
71,-122.26375220872058
72,-119.95753639440935
73,-110.880928297904
74,-117.96831041834689
75,-153.48031013461303
76,-106.35203302231022
77,-103.47544932168834
78,-104.68873158852512
79,-119.34476034217585
80,-105.93189486971251
81,-159.10741225285045
82,-128.67438776293343
83,-98.62128399311729
84,-97.14339954503318
85,-102.43812178980173
86,-159.6931377048465
87,-132.399597125506
88,-97.91972960030584
89,-85.6045625225446
90,-93.19355202287203
91,-108.33721954029684
92,-102.10055538851859
93,-100.04139703441736
94,-106.5759104569635
95,-125.59641347662793
96,-89.85681424884146
97,-113.63502376343381
98,-106.38158058297192
99,-124.65408335577294
100,-85.68033863660153
101,-116.5822849746949
102,-64.23482867215925
103,-123.53331891699554
104,-117.46221213319659
105,-147.66182522460716
106,-104.93631687666327
107,-105.36690783951005
108,-110.47433929607166
109,-123.75440128848784
110,-102.34487949098677
