,Value
0,-120.72184485565086
1,-119.52471534673896
2,-162.41999191312394
3,-122.14087767396771
4,-131.16647891246924
5,-151.39321970461648
6,-131.8654967107876
7,-130.2910192127486
8,-129.52568808926048
9,-135.25242376729437
10,-88.97094879235785
11,-88.19402727162685
12,-134.9016592832162
13,-155.43860529720837
14,-127.15132690317333
15,-119.53596875976075
16,-147.00514523157906
17,-118.19589292599437
18,-108.39613760014224
19,-91.41956751467302
20,-123.06618443017317
21,-120.07958824012378
22,-145.68409495395483
23,-128.9445238070486
24,-141.16356931603804
25,-135.76933827263682
26,-127.44576146625289
27,-111.96631505925782
28,-115.53949362941748
29,-118.4155649481573
30,-111.84337582592741
31,-102.09499327725129
32,-116.74135573130043
33,-151.64302055345456
34,-142.21639421409532
35,-96.34279784012834
36,-147.61176867343656
37,-125.29943755611336
38,-92.57007041247059
39,-142.13487901935716
40,-93.4994402667493
41,-103.00964596795264
42,-118.22812416104946
43,-101.08327446773478
44,-112.7430640992344
45,-145.39907399753045
46,-129.65886672086782
47,-111.40032491815694
48,-128.17459471110163
49,-100.7985379687042
50,-117.04896984700989
51,-117.9081224607655
52,-103.83349089384441
53,-116.13438297169061
54,-135.9608671277599
55,-77.46038684674363
56,-108.18686734412252
57,-139.20151580216628
58,-145.5524549648483
59,-120.9978829559944
60,-96.44964727596924
61,-104.20450957021515
62,-104.02178940341352
63,-121.67566334235048
64,-85.73993484339177
65,-115.9548280860574
66,-101.17660427241708
67,-93.5478020719775
68,-127.15759300054222
69,-84.26895041465656
70,-121.53719943303982
71,-121.7537522087202
72,-118.73753639440892
73,-110.6009282979038
74,-118.22831041834681
75,-151.0203101346139
76,-105.97203302231048
77,-102.2554493216885
78,-102.52873158852564
79,-117.78476034217593
80,-104.21189486971278
81,-162.1074122528509
82,-125.27438776293427
83,-96.10128399311722
84,-96.24339954503282
85,-98.61812178980213
86,-162.37313770484622
87,-131.7395971255054
88,-96.83972960030565
89,-83.72456252254469
90,-92.26355202287209
91,-108.40721954029686
92,-103.68055538851843
93,-99.56139703441735
94,-107.73591045696332
95,-127.69641347662738
96,-88.8468142488414
97,-114.28502376343324
98,-105.43158058297202
99,-125.29408335577209
100,-86.50033863660174
101,-116.88228497469515
102,-63.00482867215909
103,-125.08331891699602
104,-118.57221213319701
105,-150.1618252246074
106,-103.96631687666309
107,-106.29690783950977
108,-113.40433929607241
109,-123.80440128848802
110,-100.1648794909873
111,-113.21782531914911
112,-114.79168080846914
113,-124.51381323528767
114,-104.45862169972979
115,-127.57839069682132
116,-129.9712041842577
117,-119.00258119023556
118,-124.11556221427756
119,-115.33842660138865
120,-98.82674142375244
121,-107.9767494363236
122,-100.9722848994281
123,-119.2558043873501
124,-88.60539852027048
125,-115.65933632208706
126,-102.62395942919633
127,-92.69635393187359
128,-102.65065769862153
129,-90.96611523144648
130,-127.16871657339416
131,-105.62880306663604
