,Value
0,-120.52184485565081
1,-119.95471534673898
2,-164.9899919131253
3,-123.60087767396757
4,-131.1364789124698
5,-153.86321970461597
6,-135.84549671078838
7,-133.4010192127486
8,-130.7956880892596
9,-137.28242376729517
10,-91.12094879235782
11,-87.44402727162678
12,-134.4616592832164
13,-156.52860529720917
14,-125.51132690317374
15,-119.88596875976057
16,-148.56514523157963
17,-117.85589292599452
18,-108.46613760014188
19,-90.99956751467268
20,-122.62618443017364
21,-120.84958824012367
22,-146.25409495395522
23,-128.10452380704746
24,-139.46356931603754
25,-136.38933827263727
26,-125.99576146625387
27,-111.17631505925746
28,-115.07949362941731
29,-117.50556494815696
30,-111.5933758259275
31,-102.01499327725139
32,-116.34135573130047
33,-149.92302055345536
34,-143.7863942140953
35,-95.2927978401283
36,-147.1317686734359
37,-125.269437556113
38,-89.7300704124701
39,-139.09487901935802
40,-94.82944026674942
41,-99.92964596795254
42,-119.92812416104948
43,-102.3032744677346
44,-112.97306409923435
45,-145.8690739975309
46,-130.0788667208681
47,-110.10032491815711
48,-128.2945947111018
49,-101.82853796870424
50,-116.88896984701012
51,-117.98812246076459
52,-105.23349089384442
53,-116.83438297169066
54,-135.20086712775927
55,-77.57038684674339
56,-105.67686734412253
57,-138.83151580216645
58,-146.56245496484786
59,-122.2678829559947
60,-98.62964727596929
61,-104.89450957021549
62,-105.88178940341338
63,-121.62566334235036
64,-87.85993484339181
65,-117.89482808605771
66,-101.97660427241712
67,-94.38780207197772
68,-127.38759300054218
69,-83.36895041465648
70,-121.84719943303958
71,-122.05375220872004
72,-120.25753639440879
73,-110.25092829790383
74,-118.25831041834681
75,-153.3903101346129
76,-106.13203302231011
77,-103.46544932168845
78,-104.09873158852486
79,-118.0247603421758
80,-105.66189486971254
81,-159.98741225285127
82,-127.7743877629337
83,-97.71128399311723
84,-96.31339954503301
85,-102.36812178980186
86,-160.12313770484587
87,-133.21959712550574
88,-99.50972960030573
89,-86.92456252254468
90,-92.27355202287177
91,-108.4472195402969
92,-103.28055538851882
93,-100.23139703441716
94,-108.00591045696349
95,-125.8964134766278
96,-90.39681424884134
97,-116.67502376343324
98,-106.461580582972
99,-124.20408335577297
100,-86.68033863660155
101,-116.98228497469475
102,-66.28482867215939
103,-124.99331891699572
104,-115.97221213319649
105,-148.85182522460735
106,-104.25631687666305
107,-105.98690783951004
108,-112.69433929607173
109,-124.09440128848789
110,-101.19487949098682
111,-112.23782531914928
112,-115.26168080846898
113,-125.2438132352876
114,-105.87862169972956
115,-127.3383906968215
116,-130.24120418425755
117,-119.0325811902356
118,-125.15556221427669
119,-114.05842660138835
120,-99.41674142375305
121,-106.19674943632417
122,-100.69228489942785
123,-118.34580438734936
124,-91.63539852027033
125,-117.76933632208713
126,-105.5739594291963
127,-92.94635393187355
128,-104.13065769862169
129,-92.82611523144634
130,-128.90871657339466
131,-107.62880306663631
132,-141.95988527788953
133,-124.77083260916865
134,-120.27378287643153
135,-123.19618277020865
136,-123.17671380786881
137,-129.79910070338104
138,-104.70551299479783
139,-82.07890173611108
140,-158.61261035061298
141,-127.05923025419968
142,-142.6579536348839
143,-113.39752184903884
144,-127.63021972902247
145,-130.77755065589824
146,-101.6388240729586
147,-125.1953032530059
148,-100.54690633516246
149,-130.19149332661345
150,-101.25527568255802
151,-90.60961256515864
152,-120.85186430652898
153,-133.62206583640284
154,-139.26142774690987
155,-107.77534099485972
156,-118.895277752172
157,-107.1199016432422
158,-93.26061185301
159,-119.43343250437049
160,-91.17535109827655
161,-99.26379056805358
162,-99.54679410150628
163,-99.0902300709695
164,-160.14138108392734
165,-90.88226666073021
166,-110.41772503459522
167,-114.94888698897964
168,-140.42518687516036
169,-97.46117692226755
170,-127.73509901453183
171,-103.43032608893107
172,-105.5712753923344
173,-106.1879598637357
174,-152.00077780393178
175,-118.13234031052575
176,-131.04707706882587
177,-135.79290784863224
178,-131.96562853777056
179,-80.82089465495072
180,-133.75234121457186
181,-117.34478535060175
182,-89.03747700491846
183,-98.63121973904146
184,-97.85622091059592
185,-113.79800733727257
186,-131.43455526736426
187,-122.43208836396293
188,-114.45279662239759
189,-109.8936753097781
190,-95.46699723292275
191,-83.26667870709812
192,-101.82467020666252
193,-136.76538211310813
194,-96.5989511765119
195,-86.62508050058736
196,-84.88143939269212
197,-108.09095787988335
198,-85.46874683457219
199,-96.94334034108815
200,-99.2963697509798
201,-116.0737659279469
202,-128.32947146468658
203,-84.21358960438045
204,-72.24147689683734
205,-110.04593377381063
206,-113.16376013278018
207,-121.5671733408431
208,-88.0234698059732
209,-92.22865685920412
210,-101.09704911894383
211,-123.16269217816168
212,-101.56139714099061
213,-109.63879862427612
214,-112.10492101679588
215,-107.25196579148192
216,-95.08953548948408
217,-106.22766859166634
218,-121.42027451518925
219,-87.21896298359665
220,-112.11331859015684
221,-110.19245505464228
222,-110.46600141670535
223,-99.66783961844914
224,-97.89071493844806
225,-91.92855232399386
226,-120.55138888916284
227,-101.40387275555386
228,-115.22488462518507
229,-116.37906231888249
230,-106.57160397962055
231,-100.64418707907276
232,-115.56895248590224
233,-87.52233792317324
234,-95.12031414965342
235,-96.67150695938875
236,-75.43515570442526
237,-108.26284849990762
238,-124.72549467620324
239,-94.0483932186458
240,-97.18180015420965
241,-118.63364040310667
242,-77.22284555083584
243,-110.89222046582782
244,-92.82481645955184
245,-73.59887199945827
246,-113.41331746294512
247,-119.86117595057458
248,-105.95146455751599
249,-103.91297280062284
250,-131.75658028436854
251,-98.53112032425838
252,-77.12220931984396
253,-97.35052087663848
254,-106.8849682946689
255,-108.29280120118806
256,-95.8359417307393
257,-112.25916671685857
258,-118.48120562356382
259,-95.83476401400917
260,-116.07796244773161
261,-64.53192138597474
262,-102.9553598428196
263,-60.32784184790984
264,-122.43262232580298
265,-128.85568954285625
266,-97.19629397251842
267,-98.46091341615279
268,-72.01887076268164
269,-80.35581932385558
270,-101.19799231726304
271,-75.35348368481263
272,-92.81175696560618
273,-88.09796424669165
274,-129.4777035098086
275,-76.4761987760073
276,-121.0314866722269
277,-95.7056432799959
278,-82.88112883872046
279,-73.352473698343
280,-122.71932212676283
281,-118.75674180579549
282,-92.48488164743992
283,-111.10005761125899
284,-77.47532608707944
285,-109.71395377232095
286,-85.67148867202165
287,-115.15773061800931
288,-116.51219391352625
289,-88.01075185387165
290,-100.18582046766406
291,-88.28230491410213
292,-83.77717853419153
293,-111.21859827973097
294,-87.80216984163715
295,-87.28948869409491
296,-100.98766266022433
297,-102.36705389945902
298,-86.96240629676444
299,-135.78212111136844
