,Value
0,-120.92184485565113
1,-119.3547153467385
2,-162.89999191312532
3,-123.29087767396732
4,-131.6664789124698
5,-154.2932197046161
6,-135.30549671078785
7,-132.37101921274834
8,-131.73568808926018
9,-137.45242376729482
10,-90.85094879235776
11,-86.75402727162651
12,-132.72165928321587
13,-155.6686052972091
14,-125.41132690317379
15,-121.13596875976057
16,-148.07514523157974
17,-117.74589292599462
18,-107.55613760014201
19,-91.78956751467288
20,-122.11618443017349
21,-120.38958824012369
22,-145.31409495395533
23,-127.5045238070481
24,-140.2135693160377
25,-133.61933827263698
26,-124.96576146625378
27,-109.90631505925744
28,-113.87949362941723
29,-116.9155649481576
30,-109.52337582592736
31,-99.11499327725133
32,-114.63135573130064
33,-150.423020553455
34,-142.63639421409545
35,-96.25279784012847
36,-144.93176867343624
37,-124.26943755611254
38,-88.39007041246988
39,-137.0648790193586
40,-92.33944026674962
41,-100.49964596795239
42,-117.86812416104958
43,-100.1732744677347
44,-111.98306409923445
45,-145.12907399753084
46,-127.77886672086736
47,-110.45032491815718
48,-126.54459471110167
49,-101.01853796870424
50,-116.42896984701039
51,-117.89812246076471
52,-104.9834908938445
53,-116.26438297169064
54,-134.88086712775925
55,-77.51038684674327
56,-105.9868673441224
57,-138.2315158021667
58,-146.2724549648474
59,-122.22788295599472
60,-98.10964727596918
61,-104.90450957021542
62,-105.38178940341314
63,-120.91566334235085
64,-89.02993484339167
65,-116.65482808605756
66,-102.44660427241706
67,-93.5078020719775
68,-127.26759300054239
69,-83.97895041465637
70,-121.81719943303933
71,-121.94375220872075
72,-119.61753639440937
73,-109.84092829790393
74,-117.81831041834694
75,-153.7703101346131
76,-104.90203302231046
77,-103.2854493216885
78,-102.72873158852511
79,-116.65476034217568
80,-104.90189486971249
81,-158.38741225285065
82,-126.32438776293361
83,-99.34128399311729
84,-96.07339954503291
85,-102.39812178980198
86,-160.6931377048465
87,-130.8795971255057
88,-100.75972960030577
89,-85.96456252254477
90,-93.0735520228718
91,-107.957219540297
92,-103.11055538851842
93,-99.59139703441711
94,-107.20591045696355
95,-124.55641347662784
96,-90.46681424884147
97,-115.83502376343347
98,-106.31158058297197
99,-124.2940833557731
100,-86.2603386366015
101,-117.22228497469492
102,-65.21482867215926
103,-123.39331891699548
104,-116.83221213319659
105,-148.5218252246073
106,-105.27631687666329
107,-106.58690783950992
108,-111.64433929607162
109,-123.75440128848743
110,-101.22487949098704
111,-112.95782531914935
112,-114.08168080846926
113,-124.74381323528735
114,-105.75862169972967
115,-126.89839069682189
116,-130.1512041842579
117,-117.47258119023563
118,-124.27556221427656
119,-114.38842660138862
120,-99.57674142375289
121,-106.8267494363239
122,-100.93228489942751
123,-117.48580438734923
124,-91.29539852027035
125,-118.50933632208721
126,-103.98395942919622
127,-93.06635393187352
128,-105.22065769862161
129,-92.5161152314463
130,-130.0187165733945
131,-107.26880306663615
132,-141.35988527788908
133,-125.17083260916891
134,-120.8137828764316
135,-122.83618277020825
136,-122.23671380786857
137,-128.66910070338102
138,-103.59551299479772
139,-82.3689017361111
140,-159.12261035061277
141,-127.20923025419934
142,-143.34795363488345
143,-113.41752184903888
144,-127.42021972902307
145,-130.73755065589773
146,-100.16882407295864
147,-124.65530325300585
148,-99.76690633516255
149,-128.791493326614
150,-102.11527568255835
151,-91.59961256515832
152,-120.6618643065295
153,-134.2520658364028
154,-141.32142774691016
155,-108.7453409948594
156,-117.09527775217214
157,-109.98990164324191
158,-92.10061185300971
159,-119.00343250437054
160,-90.78535109827641
161,-101.13379056805329
162,-100.21679410150645
163,-98.76023007096948
164,-160.04138108392763
165,-90.60226666072985
166,-110.81772503459533
167,-115.0488869889798
168,-141.31518687516112
169,-98.21117692226746
170,-126.9350990145318
171,-104.41032608893127
172,-105.79127539233437
173,-105.36795986373563
174,-151.86077780393197
175,-118.59234031052551
176,-129.2670770688271
177,-137.34290784863188
178,-129.91562853777015
179,-82.77089465495057
180,-134.30234121457212
181,-116.38478535060149
182,-88.93747700491846
183,-97.81121973904143
184,-98.89622091059613
185,-114.62800733727254
186,-133.21455526736415
187,-123.93208836396306
188,-114.27279662239786
189,-111.35367530977837
190,-96.1569972329228
191,-82.55667870709804
192,-103.0646702066625
193,-138.01538211310805
194,-97.07895117651182
195,-85.18508050058736
196,-86.40143939269196
197,-108.0609578798832
198,-85.93874683457221
199,-97.50334034108805
200,-98.86636975097977
201,-117.45376592794744
202,-128.49947146468702
203,-84.61358960438045
204,-70.95147689683714
205,-110.31593377381076
206,-113.62376013278023
207,-121.62717334084303
208,-87.88346980597323
209,-92.93865685920414
210,-101.3970491189437
211,-123.74269217816138
212,-103.43139714099084
213,-111.2887986242758
214,-112.89492101679612
215,-107.83196579148212
216,-95.17953548948391
217,-104.9476685916665
218,-121.66027451518903
219,-86.19896298359642
220,-111.00331859015652
221,-110.64245505464203
222,-109.8260014167058
223,-99.18783961844913
224,-97.80071493844792
225,-92.39855232399387
226,-121.43138888916292
227,-100.7538727555539
228,-115.63488462518524
229,-117.24906231888255
230,-107.54160397962028
231,-102.384187079073
232,-117.25895248590223
233,-88.47233792317336
234,-95.35031414965344
235,-97.45150695938871
236,-74.60515570442533
237,-107.9728484999079
238,-124.4954946762031
239,-94.42839321864588
240,-98.35180015420985
241,-119.2136404031069
242,-75.73284555083576
243,-112.02222046582783
244,-92.06481645955174
245,-77.13887199945816
246,-113.72331746294508
247,-118.51117595057465
248,-106.7514645575163
249,-104.06297280062283
250,-130.20658028436853
251,-99.44112032425842
252,-78.60220931984405
253,-96.5805208766385
254,-106.224968294669
255,-109.51280120118813
256,-95.8459417307392
257,-110.73916671685838
258,-118.49120562356416
259,-97.17476401400927
260,-118.53796244773159
261,-66.03192138597494
262,-103.77535984281955
263,-59.78784184790976
264,-123.39262232580333
265,-127.71568954285621
266,-97.34629397251837
267,-97.85091341615279
268,-72.95887076268151
269,-80.55581932385564
270,-101.38799231726288
271,-77.12348368481267
272,-92.061756965606
273,-89.25796424669167
274,-129.0077035098085
275,-76.76619877600726
276,-120.96148667222685
277,-97.1856432799959
278,-84.06112883872053
279,-73.55247369834308
280,-124.46932212676286
281,-120.58674180579536
282,-94.32488164743991
283,-109.47005761125897
284,-77.37532608707932
285,-109.16395377232104
286,-85.87148867202191
287,-116.73773061800948
288,-117.81219391352661
289,-87.1507518538719
290,-98.76582046766391
291,-87.70230491410186
292,-84.48717853419157
293,-110.11859827973107
