,Value
0,-122.40609956015987
1,-99.10283999383155
2,-91.51928209972297
3,-95.15472544996891
4,-69.47678858431382
5,-128.66429662284986
6,-59.441488680881506
7,-90.71759957737848
8,-78.06820321586778
9,-74.85402548732446
10,-64.89341013769891
11,-60.63459749889165
12,-83.56313994151061
13,-73.40079422217055
14,-103.45207355956805
15,-69.76703518419461
16,-72.81891122198448
17,-112.9278993409414
18,-84.96328745126831
19,-106.73898621709084
20,-116.39176646262817
21,-77.15950932739517
22,-96.5730497705512
23,-116.71537172932622
24,-119.14687657430606
25,-155.20066934745608
26,-91.61928070046858
27,-79.32588845797522
28,-101.74844653563977
29,-91.20484750677437
30,-91.1953008264751
31,-76.19173398707368
32,-91.30037929808051
33,-100.03336551219091
34,-68.71229042641438
35,-97.61978155735677
36,-81.54509300080665
37,-75.67358713948626
38,-95.17463537894679
39,-129.26104671488795
40,-97.85754815910329
41,-84.08053570004788
42,-70.14328557065973
43,-88.84744144884635
44,-95.34784010584312
45,-98.51650719434849
46,-77.73412883370932
47,-83.92468630314839
48,-86.00506402007977
49,-88.9965034057229
50,-86.10892808704905
51,-81.1594603656679
52,-91.23901518409114
53,-75.62545567998072
54,-78.85472031956218
55,-121.35097635228412
56,-75.40346751562076
57,-67.38454820092662
58,-104.22357638941219
59,-89.72957218883815
60,-95.40736742990403
61,-101.05369948525814
62,-89.91722905468916
63,-72.9545377361549
64,-60.93298491244459
65,-91.78792180538704
66,-115.92421673340871
67,-81.98232132925433
68,-90.5904551733502
69,-77.71378891496362
70,-88.5336392203167
71,-79.85457313053138
72,-78.71968380637875
73,-65.17138735655344
74,-78.76049802016082
75,-62.070189622035
76,-77.05444921038671
77,-71.55132550951136
78,-54.8688550457057
79,-76.18342489759969
80,-69.02003983717337
81,-65.60301008525413
82,-54.28264456046031
83,-54.06888112886956
84,-90.9006063687747
85,-64.5967181552212
86,-70.24916291709096
87,-67.95673559256086
88,-61.17500675782826
89,-63.77108384815947
90,-70.97089109706823
91,-97.4785545030152
92,-70.87904402722268
93,-96.15959037953857
94,-68.8677726600406
95,-67.14164233123533
96,-75.67507464180176
