,Value
0,-129.51609956015977
1,-97.80283999383141
2,-91.48928209972283
3,-95.30472544996908
4,-70.77678858431378
5,-128.0942966228496
6,-59.71148868088149
7,-92.77759957737852
8,-77.9882032158679
9,-76.52402548732434
10,-68.37341013769915
11,-63.09459749889165
12,-86.39313994151054
13,-75.93079422217053
14,-105.18207355956785
15,-73.55703518419449
16,-74.64891122198443
17,-115.49789934094096
18,-85.09328745126824
19,-108.91898621709088
20,-118.41176646262772
21,-76.56950932739508
22,-97.9030497705512
23,-119.0053717293263
24,-120.60687657430597
25,-155.1006693474562
26,-94.01928070046816
27,-80.3458884579754
28,-102.83844653563997
29,-92.75484750677451
30,-92.33530082647503
31,-78.73173398707367
32,-94.87037929808068
33,-103.37336551219096
34,-70.6722904264144
35,-98.50978155735669
36,-81.50509300080674
37,-78.92358713948626
38,-96.01463537894669
39,-129.9810467148879
40,-96.30754815910353
41,-85.00053570004837
42,-71.17328557065979
43,-90.74744144884606
44,-94.98784010584328
45,-100.36650719434837
46,-78.62412883370925
47,-86.84468630314872
48,-86.69506402007991
49,-90.25650340572297
50,-88.60892808704891
51,-82.81946036566774
52,-92.39901518409096
53,-76.39545567998073
54,-77.48472031956206
55,-121.59097635228431
56,-77.25346751562088
57,-69.50454820092673
58,-105.55357638941231
59,-94.18957218883843
60,-95.79736742990409
61,-102.20369948525813
62,-91.40722905468874
63,-75.28453773615493
64,-60.33298491244464
65,-92.69792180538697
66,-117.26421673340879
67,-84.14232132925466
68,-91.58045517335032
69,-79.33378891496368
70,-90.79363922031686
71,-80.54457313053153
72,-80.82968380637882
73,-67.2713873565534
74,-79.53049802016086
75,-62.8901896220352
76,-80.15444921038662
77,-74.93132550951131
78,-56.988855045705705
79,-78.45342489759969
80,-69.80003983717306
81,-67.18301008525438
82,-56.802644560460465
83,-55.34888112886955
84,-92.12060636877469
85,-65.08671815522116
86,-70.479162917091
87,-70.08673559256063
88,-63.745006757828115
89,-64.2110838481594
90,-71.72089109706828
91,-97.08855450301537
92,-71.58904402722271
93,-97.77959037953873
94,-71.92777266004052
95,-68.40164233123535
96,-76.46507464180169
97,-90.24861030525463
98,-75.21748663477196
99,-80.20850914691715
100,-68.91836086941093
101,-62.106851505626494
102,-145.83064434495637
103,-79.73850584211347
104,-73.31913672323381
105,-55.200758794892955
106,-60.92827198183643
107,-82.1460891503836
108,-80.18258169691777
109,-99.02166236485856
110,-88.2296965164412
111,-69.160080301703
112,-77.70134784784896
113,-70.53388986277895
114,-100.72983984528244
115,-79.23643642430564
116,-113.21950448904158
117,-70.50743866411526
