,Value
0,-129.84609956015976
1,-97.9928399938315
2,-91.25928209972277
3,-95.9447254499692
4,-69.23678858431379
5,-129.30429662284985
6,-59.65148868088147
7,-92.24759957737837
8,-78.3682032158679
9,-76.72402548732437
10,-68.87341013769911
11,-62.56459749889167
12,-85.63313994151036
13,-75.38079422217051
14,-105.5320735595678
15,-73.85703518419454
16,-74.30891122198435
17,-115.337899340941
18,-85.48328745126832
19,-108.92898621709087
20,-118.04176646262765
21,-76.73950932739507
22,-98.2930497705514
23,-119.10537172932615
24,-120.34687657430614
25,-156.76066934745634
26,-94.64928070046804
27,-81.18588845797541
28,-102.79844653563995
29,-92.63484750677456
30,-93.01530082647513
31,-77.45173398707368
32,-95.42037929808053
33,-103.71336551219083
34,-71.4522904264145
35,-99.15978155735668
36,-82.77509300080668
37,-78.97358713948618
38,-96.11463537894676
39,-130.34104671488768
40,-96.83754815910372
41,-85.5005357000481
42,-72.01328557065985
43,-90.65744144884621
44,-95.04784010584336
45,-100.83650719434851
46,-80.51412883370938
47,-87.48468630314865
48,-87.73506402007997
49,-90.786503405723
50,-87.65892808704903
51,-82.53946036566768
52,-93.22901518409097
53,-77.11545567998073
54,-79.694720319562
55,-123.08097635228435
56,-76.65346751562065
57,-70.16454820092677
58,-106.21357638941213
59,-93.28957218883842
60,-95.86736742990402
61,-101.9336994852583
62,-91.03722905468899
63,-74.22453773615493
64,-60.63298491244469
65,-93.67792180538729
66,-116.85421673340875
67,-83.40232132925463
68,-91.60045517335013
69,-79.71378891496389
70,-90.5336392203168
71,-80.70457313053147
72,-80.69968380637889
73,-65.00138735655344
74,-78.49049802016063
75,-63.61018962203516
76,-80.12444921038664
77,-74.90132550951134
78,-57.38885504570563
79,-79.1134248975996
80,-71.41003983717296
81,-66.89301008525426
82,-56.582644560460366
83,-55.548881128869596
84,-91.48060636877486
85,-65.13671815522112
86,-71.02916291709101
87,-68.49673559256078
88,-63.725006757828204
89,-65.57108384815942
90,-72.12089109706828
91,-97.97855450301537
92,-71.32904402722274
93,-97.91959037953873
94,-70.9277726600405
95,-67.97164233123536
96,-77.19507464180175
97,-90.74861030525445
98,-74.38748663477199
99,-78.49850914691721
100,-69.16836086941092
101,-61.81685150562646
102,-145.53064434495641
103,-77.3985058421136
104,-73.97913672323385
105,-54.660758794892935
106,-61.17827198183661
107,-82.5660891503836
108,-79.60258169691795
109,-99.16166236485867
110,-88.98969651644137
111,-68.21008030170296
112,-77.81134784784896
113,-69.48388986277894
114,-100.69983984528236
115,-80.59643642430561
116,-113.33950448904154
117,-70.06743866411519
118,-81.29569668146948
119,-56.75625539044289
120,-74.76630903326813
121,-74.56806803490376
122,-70.95595501100006
123,-90.00411676202373
124,-62.684604137405664
125,-69.41021523461157
126,-67.68414291191922
127,-74.10941127360915
128,-81.941818677297
129,-69.63844615318445
130,-49.670016888674425
131,-73.04320152582326
132,-80.50049010346092
133,-102.04534260995862
134,-82.38868735282873
135,-69.80467281419935
136,-82.7558247265782
137,-60.650641968008856
138,-68.97441652172081
139,-107.493929464368
140,-81.55575315178172
141,-79.13104993344487
142,-96.149905735133
143,-87.35556569527449
144,-120.05956267093616
145,-113.32314546435146
146,-72.30747445272809
147,-79.94767017868742
148,-80.1950099986258
149,-98.35110947450303
150,-89.00435884228372
151,-92.96614380099831
152,-93.49578049432657
153,-85.88925310965655
154,-88.0195704804826
155,-94.66023330006664
156,-60.28050201258994
157,-108.09446477321072
158,-64.73960994663223
159,-108.20704476709462
160,-87.22249892924705
161,-111.92460708546164
162,-72.01399456281538
163,-67.47487061841164
164,-76.34779067698602
165,-127.11347396712304
166,-73.51402017676406
167,-106.36522675780995
168,-75.47967538174848
169,-87.52909409494723
170,-63.180696324962796
171,-68.0802132722729
172,-68.29094720615419
173,-72.12046568274936
174,-85.52835782570305
175,-79.13776331920877
176,-86.50640277414952
177,-69.67797519222012
178,-57.74548598070645
179,-90.98553626130993
180,-76.29803179181185
181,-81.49668157088176
182,-78.81827346569062
183,-87.88063727807213
184,-70.35953100575587
185,-79.75854972420746
186,-93.28061774725958
187,-97.86112105655369
188,-86.85298178993709
189,-88.23114266582255
190,-78.83057847424615
191,-68.49405525137797
192,-110.80139294261448
193,-106.43751886853563
194,-63.97749338851016
195,-106.29949288711138
196,-101.71010575623902
197,-93.8357652052502
198,-89.94298041474936
199,-77.68792854342095
200,-87.75290948068964
201,-110.66090109797256
202,-103.38166305974528
203,-97.38596639733638
204,-92.39225444122772
205,-88.18095156947791
206,-74.0832369113516
207,-63.610314946943184
208,-86.39077065640868
209,-101.61551325344212
210,-71.24793256533935
211,-66.17397251215597
212,-90.85758337496071
213,-90.62534550921156
214,-118.08255717210636
215,-91.2264113842675
216,-55.958570635937164
217,-57.49783834338439
218,-94.55697130173368
219,-70.56074841860746
220,-98.93996323474015
221,-67.96054137639051
222,-96.96127834884689
223,-85.74348953286407
224,-79.9720536265487
225,-70.16002686268877
226,-76.1021781518881
227,-69.12214463053098
228,-95.6417714623127
229,-79.42183280090562
230,-87.94440490672257
231,-100.16500407723998
232,-97.19716612791099
233,-80.07009681384864
234,-98.91977220674401
235,-103.96192892192228
236,-91.05720665300844
237,-96.11798590588461
238,-64.80430388841363
239,-84.04594232570851
240,-86.61355012529681
241,-87.57982556561585
242,-56.42255028813561
243,-81.78240220906231
244,-86.680276715379
245,-80.48732266758572
246,-63.105332065504946
247,-77.48354805161236
248,-85.58263933997901
249,-76.90664913533479
250,-60.762577862109936
251,-67.47625563493035
252,-72.29786116893526
253,-95.06235961365684
254,-80.70407313050762
255,-79.92135513508289
256,-67.00949594478763
257,-73.44776624895223
258,-75.5378924357882
259,-92.5424831906812
260,-72.63533856095322
261,-59.05301843754587
262,-87.17723010400785
263,-55.876910206826516
264,-124.32753728089139
265,-88.06756125438449
266,-74.77396155790147
267,-80.57679091399686
268,-63.870183309336106
269,-93.75646410712834
270,-80.20709577709654
271,-74.5948165316118
272,-74.98141140898558
273,-90.16104470730068
274,-78.8586733929572
275,-57.99285791513557
276,-73.20044747881157
277,-55.65137696499086
278,-94.02995923432667
279,-63.418788479718714
280,-114.49690017498101
281,-73.44251467608834
282,-64.27421282355371
283,-92.30968609838212
284,-66.54424403888308
285,-60.39061812241148
286,-90.66187686795658
287,-75.64800091311758
288,-52.83692656906288
289,-96.72808590635427
290,-66.55502524050077
291,-80.82067626729868
292,-70.75471718909672
293,-63.1967589353172
294,-64.7000760215669
295,-77.39309990077093
296,-63.803107982701036
297,-105.22346989759865
298,-106.75623880570485
299,-81.4222588586148
