,Value
0,-122.15609956015933
1,-98.94283999383157
2,-89.41928209972266
3,-95.17472544996915
4,-68.42678858431361
5,-126.49429662284979
6,-59.6914886808814
7,-92.4875995773784
8,-78.98820321586781
9,-77.14402548732437
10,-67.91341013769913
11,-63.554597498891646
12,-84.8331399415106
13,-75.6807942221706
14,-105.50207355956789
15,-71.55703518419458
16,-74.86891122198438
17,-114.34789934094124
18,-84.70328745126821
19,-108.53898621709072
20,-117.81176646262773
21,-76.32950932739502
22,-98.28304977055122
23,-117.53537172932597
24,-120.52687657430594
25,-155.97066934745595
26,-92.50928070046837
27,-80.74588845797544
28,-102.65844653564004
29,-93.22484750677441
30,-92.65530082647506
31,-77.3417339870737
32,-94.69037929808054
33,-102.57336551219086
34,-71.72229042641452
35,-98.75978155735673
36,-81.32509300080673
37,-78.21358713948631
38,-96.73463537894679
39,-129.51104671488798
40,-97.16754815910375
41,-85.01053570004834
42,-71.96328557065974
43,-90.5274414488461
44,-94.80784010584335
45,-99.73650719434838
46,-78.90412883370928
47,-86.55468630314863
48,-86.2850640200798
49,-89.47650340572315
50,-87.56892808704889
51,-83.1694603656677
52,-93.15901518409105
53,-76.85545567998072
54,-80.09472031956204
55,-122.49097635228452
56,-76.47346751562085
57,-69.22454820092665
58,-106.31357638941218
59,-92.48957218883821
60,-96.48736742990405
61,-102.22369948525827
62,-91.71722905468901
63,-74.72453773615487
64,-60.70298491244457
65,-92.77792180538714
66,-116.674216733409
67,-82.88232132925462
68,-89.86045517335023
69,-78.14378891496372
70,-90.61363922031677
71,-79.49457313053155
72,-80.16968380637863
73,-65.24138735655346
74,-79.6104980201608
75,-62.68018962203498
76,-79.01444921038657
77,-72.50132550951146
78,-56.53885504570568
79,-79.14342489759964
80,-70.57003983717316
81,-68.17301008525439
82,-57.03264456046045
83,-56.728881128869624
84,-91.60060636877459
85,-65.71671815522116
86,-71.04916291709102
87,-69.4367355925607
88,-63.50500675782806
89,-64.88108384815943
90,-71.67089109706822
91,-99.11855450301518
92,-70.92904402722272
93,-98.29959037953866
94,-71.23777266004059
95,-68.91164233123531
96,-76.66507464180165
97,-90.15861030525451
98,-73.50748663477204
99,-78.4685091469172
100,-68.3083608694108
101,-61.7468515056265
102,-144.5006443449566
103,-78.4185058421137
104,-71.82913672323386
105,-54.47075879489305
106,-60.408271981836585
107,-80.45608915038329
108,-79.86258169691783
109,-98.60166236485865
110,-88.97969651644127
111,-67.75008030170294
112,-76.59134784784897
113,-69.71388986277887
114,-99.46983984528248
115,-80.41643642430563
116,-113.4195044890417
117,-69.44743866411514
118,-80.5856966814695
119,-55.53625539044284
120,-74.74630903326818
121,-74.89806803490379
122,-70.6359550110001
123,-89.95411676202357
124,-62.00460413740565
125,-67.55021523461147
126,-67.4041429119193
127,-74.24941127360908
128,-81.10181867729713
129,-69.97844615318444
130,-50.09001688867444
131,-73.87320152582326
132,-79.75049010346086
133,-104.16534260995886
134,-82.74868735282858
135,-69.09467281419927
136,-83.52582472657826
137,-59.67064196800881
138,-69.15441652172073
139,-108.51392946436776
140,-81.00575315178176
141,-79.29104993344481
142,-96.18990573513298
143,-87.6055656952746
144,-120.89956267093616
145,-109.59314546435171
146,-71.28747445272845
147,-80.29767017868748
148,-78.67500999862584
149,-98.99110947450335
150,-90.08435884228379
151,-92.80614380099834
152,-93.43578049432655
153,-86.26925310965666
154,-88.99957048048236
155,-96.07023330006662
156,-61.150502012590024
157,-108.3344647732109
158,-65.44960994663218
159,-108.04704476709465
160,-86.86249892924697
161,-112.08460708546144
162,-72.6339945628155
163,-66.54487061841158
164,-76.4477906769861
165,-127.78347396712289
166,-73.40402017676395
167,-107.9552267578099
168,-76.06967538174843
169,-87.7590940949472
170,-62.08069632496283
171,-68.33021327227293
172,-69.68094720615412
173,-71.20046568274932
174,-85.17835782570265
175,-80.09776331920895
176,-86.43640277414953
177,-69.91797519222015
178,-58.10548598070661
179,-91.76553626130976
180,-77.50803179181207
181,-82.5266815708818
182,-79.40827346569053
183,-88.99063727807226
184,-71.17953100575596
185,-80.67854972420766
186,-89.54061774725949
187,-99.6511210565537
188,-87.24298178993695
189,-88.41114266582254
190,-78.62057847424616
191,-67.87405525137805
192,-110.94139294261436
193,-106.33751886853558
194,-63.39749338851036
195,-106.0694928871116
196,-104.13010575623889
197,-93.77576520525034
198,-90.84298041474939
199,-76.48792854342081
200,-88.14290948068978
201,-109.62090109797286
202,-105.11166305974504
203,-97.26596639733654
204,-92.17225444122762
205,-89.83095156947793
206,-75.16323691135167
207,-64.58031494694322
208,-86.75077065640866
209,-103.13551325344187
210,-71.05793256533931
211,-66.0939725121559
212,-91.01758337496048
213,-89.70534550921155
214,-117.14255717210634
215,-93.16641138426766
216,-57.0185706359372
217,-57.89783834338438
218,-95.41697130173371
219,-71.12074841860739
220,-98.36996323474028
221,-69.00054137639022
222,-95.6612783488468
223,-84.8434895328641
224,-79.94205362654871
225,-70.76002686268872
226,-76.89217815188809
227,-68.1321446305311
228,-95.47177146231262
229,-78.97183280090552
230,-88.12440490672257
231,-101.19500407723982
232,-97.90716612791088
233,-80.40009681384869
234,-98.739772206744
235,-104.33192892192221
236,-90.59720665300839
237,-95.33798590588465
238,-65.83430388841373
239,-81.93594232570847
240,-86.6735501252968
241,-87.47982556561597
242,-56.982550288135585
243,-81.92240220906211
244,-87.11027671537906
245,-80.65732266758582
246,-63.66533206550507
247,-78.67354805161224
248,-86.27263933997904
249,-77.39664913533478
250,-60.13257786211
251,-67.4062556349303
252,-73.3478611689352
253,-97.59235961365619
254,-80.79407313050731
255,-80.65135513508292
256,-68.89949594478742
257,-73.87776624895218
258,-74.89789243578814
259,-92.0924831906813
260,-72.96533856095314
261,-59.223018437545946
262,-88.7272301040077
263,-56.74691020682651
264,-124.62753728089146
265,-88.3775612543845
266,-73.34396155790161
267,-79.27679091399678
268,-64.060183309336
269,-93.21646410712853
270,-78.98709577709658
271,-75.12481653161191
272,-74.90141140898574
273,-90.98104470730091
274,-78.25867339295735
275,-58.07285791513558
276,-72.76044747881137
277,-56.181376964990946
278,-94.32995923432661
279,-63.598788479718756
280,-113.48690017498109
281,-71.80251467608846
282,-64.53421282355367
283,-93.07968609838214
284,-66.92424403888302
285,-61.580618122411536
286,-91.6518768679567
287,-75.57800091311748
288,-53.16692656906283
289,-96.68808590635442
290,-66.60502524050077
291,-80.9606762672988
292,-71.57471718909669
293,-62.786758935317195
294,-65.12007602156699
295,-77.89309990077103
296,-64.05310798270105
297,-105.65346989759855
298,-106.71623880570465
299,-80.36225885861481
