,Value
0,-121.11609956015998
1,-96.91283999383162
2,-91.94928209972274
3,-94.57472544996898
4,-70.87678858431381
5,-127.41429662284995
6,-59.841488680881604
7,-89.54759957737829
8,-79.30820321586785
9,-74.73402548732427
10,-66.29341013769923
11,-62.754597498891826
12,-85.90313994151047
13,-75.42079422217066
14,-103.14207355956799
15,-70.59703518419477
16,-74.41891122198466
17,-113.36789934094156
18,-83.54328745126841
19,-106.0789862170908
20,-116.34176646262799
21,-76.91950932739516
22,-95.58304977055109
23,-118.74537172932602
24,-116.82687657430597
25,-156.99066934745665
26,-91.88928070046768
27,-80.45588845797533
28,-100.12844653564007
29,-92.2148475067742
30,-90.1553008264752
31,-75.52173398707349
32,-92.2203792980806
33,-102.32336551219075
34,-68.88229042641449
35,-95.29978155735688
36,-82.69509300080647
37,-75.99358713948632
38,-93.57463537894694
39,-129.5310467148879
40,-95.3175481591036
41,-84.3705357000476
42,-70.61328557065991
43,-88.36744144884604
44,-94.55784010584335
45,-99.42650719434853
46,-77.3641288337094
47,-83.50468630314847
48,-85.74506402008011
49,-87.946503405723
50,-86.39892808704901
51,-81.7394603656677
52,-92.62901518409106
53,-74.7554556799807
54,-78.21472031956209
55,-118.25097635228465
56,-74.4734675156207
57,-67.81454820092668
58,-102.06357638941205
59,-89.96957218883841
60,-93.86736742990414
61,-98.32369948525835
62,-89.50722905468899
63,-70.9245377361548
64,-58.122984912444494
65,-89.46792180538748
66,-116.55421673340882
67,-81.23232132925436
68,-87.70045517335011
69,-77.58378891496365
70,-86.7836392203167
71,-78.40457313053143
72,-79.41968380637874
73,-62.781387356553424
74,-76.9704980201608
75,-60.6301896220351
76,-75.1144492103866
77,-70.87132550951137
78,-54.76885504570555
79,-76.3034248975998
80,-69.31003983717287
81,-65.28301008525428
82,-54.962644560460475
83,-53.84888112886965
84,-89.83060636877475
85,-63.50671815522103
86,-67.88916291709117
87,-68.38673559256054
88,-62.24500675782825
89,-62.321083848159525
90,-69.4408910970682
91,-97.53855450301526
92,-69.0090440272227
93,-96.78959037953871
94,-67.32777266004064
95,-66.41164233123531
96,-74.99507464180178
97,-88.46861030525467
98,-71.68748663477201
99,-75.66850914691716
100,-68.07836086941046
101,-59.786851505626544
102,-144.0006443449564
103,-78.09850584211341
104,-71.00913672323381
105,-52.250758794892796
106,-58.15827198183653
107,-78.1760891503834
108,-77.23258169691769
109,-99.2216623648586
110,-86.92969651644123
111,-64.92008030170288
112,-74.75134784784899
113,-67.76388986277884
114,-99.6498398452825
115,-77.74643642430553
116,-111.41950448904174
117,-67.08743866411514
118,-78.73569668146942
119,-55.296255390442866
120,-72.75630903326804
121,-72.71806803490375
122,-68.45595501099994
123,-89.03411676202369
124,-60.9746041374057
125,-68.47021523461159
126,-66.82414291191928
127,-72.57941127360928
128,-80.81181867729717
129,-68.57844615318443
130,-49.23001688867445
131,-71.37320152582329
132,-78.03049010346095
133,-101.46534260995864
134,-82.01868735282876
135,-68.60467281419926
136,-81.37582472657816
137,-59.040641968008835
138,-67.45441652172073
139,-107.82392946436762
140,-79.31575315178183
141,-78.56104993344478
142,-93.57990573513305
143,-87.36556569527447
144,-118.71956267093658
145,-111.02314546435154
146,-71.33747445272829
147,-79.15767017868755
148,-79.20500999862557
149,-97.8111094745031
150,-88.34435884228384
151,-92.39614380099843
152,-91.7757804943265
153,-83.95925310965666
154,-87.17957048048268
155,-93.64023330006673
156,-59.02050201259001
157,-106.53446477321049
158,-62.6896099466321
159,-108.49704476709402
160,-86.16249892924716
161,-111.26460708546122
162,-71.67399456281568
163,-65.21487061841154
164,-74.70779067698595
165,-124.03347396712256
166,-74.01402017676425
167,-105.66522675781027
168,-74.53967538174876
169,-86.01909409494735
170,-61.76069632496258
171,-65.33021327227353
172,-66.64094720615405
173,-70.4704656827492
174,-83.65835782570251
175,-78.82776331920913
176,-85.7964027741495
177,-67.81797519221996
178,-57.835485980706494
179,-88.1355362613098
180,-72.2180317918118
181,-78.4266815708817
182,-74.29827346569031
183,-84.3706372780727
184,-67.30953100575599
185,-78.36854972420748
186,-90.60061774725966
187,-96.35112105655381
188,-83.15298178993709
189,-86.56114266582253
190,-76.97057847424625
191,-65.45405525137787
192,-111.63139294261418
193,-107.04751886853566
194,-60.99749338851031
195,-104.8694928871115
196,-100.35010575623917
197,-90.0457652052502
198,-89.12298041474935
199,-73.50792854342089
200,-84.90290948068971
201,-108.8409010979721
202,-103.66166305974525
203,-95.2859663973364
204,-89.87225444122764
205,-85.94095156947783
206,-72.58323691135169
207,-60.650314946943034
208,-84.84077065640898
209,-100.96551325344191
210,-68.40793256533934
211,-64.11397251215597
212,-87.8275833749605
213,-87.83534550921178
214,-116.8725571721067
215,-90.9764113842676
216,-54.69857063593723
217,-57.47783834338431
218,-92.50697130173398
219,-69.32074841860738
220,-98.37996323473999
221,-65.6305413763904
222,-95.86127834884662
223,-82.91348953286399
224,-79.08205362654863
225,-68.01002686268879
226,-75.762178151888
227,-66.82214463053106
228,-93.63177146231281
229,-76.9518328009056
230,-86.9844049067225
231,-98.89500407723975
232,-96.77716612791076
233,-78.57009681384882
234,-98.01977220674394
235,-103.48192892192245
236,-86.95720665300846
237,-93.75798590588451
238,-65.5443038884138
239,-83.32594232570855
240,-87.09355012529667
241,-86.60982556561588
242,-56.6525502881356
243,-81.8524022090623
244,-86.420276715379
245,-79.48732266758574
246,-62.10533206550499
247,-76.47354805161233
248,-85.0126393399791
249,-77.06664913533487
250,-58.28257786211007
251,-67.18625563493039
252,-72.22786116893516
253,-95.54235961365636
254,-79.41407313050746
255,-79.921355135083
256,-66.2194959447875
257,-72.59776624895211
258,-74.35789243578812
259,-90.0824831906812
260,-70.77533856095303
261,-58.353018437545884
262,-86.74723010400797
263,-54.75691020682659
264,-122.82753728089158
265,-86.51756125438465
266,-72.83396155790135
267,-79.38679091399678
268,-63.640183309336045
269,-92.78646410712837
270,-78.3570957770967
271,-74.52481653161209
272,-74.08141140898574
273,-89.55104470730068
274,-76.73867339295731
275,-56.57285791513549
276,-71.60044747881142
277,-55.88137696499083
278,-92.39995923432672
279,-61.83878847971872
280,-113.75690017498064
281,-73.38251467608842
282,-63.69421282355355
283,-92.43968609838211
284,-65.53424403888306
285,-59.06061812241156
286,-89.39187686795637
287,-74.21800091311768
288,-51.38692656906293
289,-96.6780859063544
290,-66.28502524050081
291,-79.14067626729867
292,-69.84471718909683
293,-61.456758935317204
294,-63.94007602156698
295,-75.27309990077092
296,-63.083107982701144
297,-105.15346989759891
298,-106.22623880570475
299,-79.20225885861488
