,Value
0,-121.58609956015933
1,-97.75283999383159
2,-91.00928209972277
3,-95.31472544996913
4,-69.18678858431377
5,-129.0742966228499
6,-60.84148868088147
7,-91.97759957737843
8,-78.63820321586805
9,-77.66402548732445
10,-68.31341013769901
11,-62.90459749889176
12,-86.11313994151052
13,-76.03079422217063
14,-105.562073559568
15,-72.95703518419441
16,-74.6689112219845
17,-115.46789934094105
18,-85.39328745126834
19,-108.73898621709091
20,-117.41176646262772
21,-76.7895093273951
22,-98.34304977055129
23,-119.84537172932573
24,-120.04687657430597
25,-155.71066934745647
26,-94.23928070046807
27,-80.97588845797543
28,-102.78844653564006
29,-93.66484750677445
30,-92.48530082647511
31,-77.78173398707352
32,-95.09037929808062
33,-103.41336551219074
34,-71.04229042641444
35,-97.82978155735671
36,-82.9350930008067
37,-78.63358713948637
38,-97.13463537894668
39,-130.55104671488792
40,-97.25754815910375
41,-86.28053570004798
42,-72.49328557065982
43,-90.98744144884611
44,-95.26784010584342
45,-100.9765071943485
46,-80.37412883370942
47,-87.01468630314844
48,-87.23506402007983
49,-89.4365034057229
50,-87.99892808704911
51,-83.36946036566772
52,-93.80901518409107
53,-76.59545567998069
54,-80.33472031956212
55,-123.42097635228428
56,-77.06346751562079
57,-69.55454820092666
58,-105.22357638941207
59,-92.66957218883826
60,-96.30736742990393
61,-101.33369948525812
62,-91.687229054689
63,-74.1745377361549
64,-61.47298491244459
65,-92.40792180538757
66,-117.34421673340869
67,-82.99232132925482
68,-91.53045517335046
69,-78.9137889149637
70,-89.93363922031673
71,-79.11457313053151
72,-80.30968380637862
73,-66.69138735655342
74,-79.2504980201608
75,-63.810189622035224
76,-79.3544492103866
77,-73.71132550951137
78,-55.49885504570572
79,-78.37342489759962
80,-70.67003983717319
81,-66.27301008525431
82,-55.88264456046037
83,-56.67888112886965
84,-91.01060636877459
85,-66.46671815522113
86,-70.58916291709107
87,-68.66673559256081
88,-62.645006757828256
89,-64.39108384815938
90,-71.7208910970682
91,-98.40855450301531
92,-70.84904402722262
93,-97.04959037953869
94,-71.65777266004045
95,-68.07164233123544
96,-76.66507464180172
97,-90.80861030525449
98,-74.60748663477203
99,-78.85850914691717
100,-68.36836086941098
101,-61.08685150562651
102,-145.0806443449566
103,-78.81850584211324
104,-73.00913672323385
105,-53.8707587948929
106,-60.90827198183653
107,-81.43608915038332
108,-79.00258169691786
109,-98.76166236485872
110,-89.58969651644131
111,-68.720080301703
112,-77.26134784784895
113,-69.03388986277886
114,-99.86983984528239
115,-79.40643642430555
116,-113.37950448904186
117,-70.17743866411521
118,-81.12569668146946
