,Value
0,-99.86866920474725
1,-93.5475496208049
2,-85.66757999097763
3,-83.44513012771337
4,-101.53723560262365
5,-73.3666776671911
6,-65.24810225541484
7,-71.19157047525285
8,-90.50596789099919
9,-99.41711717746975
10,-67.5199100253176
11,-75.72106239510346
12,-74.82056792734222
13,-99.07335422031208
14,-61.886514559813065
15,-107.18284186858527
16,-70.54914687130372
17,-88.03359576689907
18,-106.64092233347064
19,-134.00441465929077
20,-85.81817043926922
21,-92.50847723499786
22,-82.21553128755762
23,-73.30402082967179
24,-46.178121282679335
25,-100.82029238284665
26,-81.85686158327546
27,-54.16118445882914
28,-75.50246547049086
29,-85.92028856773784
30,-86.44479318824106
31,-86.46395566279139
32,-77.53795660107794
33,-50.251277837473474
34,-93.3862604293864
35,-71.37408937396116
36,-68.28517563088617
37,-47.43631641521223
38,-56.56438279951942
39,-58.22076976717652
40,-77.62694783813353
41,-66.52851577252959
42,-65.08506591843347
43,-60.06069101565053
44,-71.10438485313672
45,-73.81481361593607
46,-48.592852937405965
47,-58.7503845687129
48,-47.640736756960656
49,-55.88567915412907
50,-57.06571058709271
51,-70.7102210998639
52,-55.72807431856927
53,-55.95375421253792
54,-45.65519652437204
55,-90.70850880263927
56,-60.27933971174366
57,-66.7763969364992
58,-52.32455501075547
59,-49.31356461095919
60,-52.213498084125675
61,-58.05449651448483
62,-74.80572537411209
63,-62.168917109214306
64,-56.1305130640924
65,-70.50912158332541
66,-66.7647545767617
67,-57.24624932728078
68,-88.67909329728967
69,-57.31726917944512
70,-70.71105044685254
71,-61.63459587190406
72,-75.51348201291867
73,-80.53373635918263
74,-45.778020820797785
75,-87.8587275540434
76,-39.38522787758537
77,-63.69040622426728
78,-54.1214591776769
79,-60.076603299193366
80,-80.39720714889779
81,-73.96928858260404
82,-70.50831355040975
83,-51.7000238037481
84,-74.79983261241932
85,-59.48512212736459
86,-85.1173427908607
87,-72.93037654132605
88,-69.18420698696875
89,-96.15555826621349
90,-79.7666330637381
91,-64.2471118117005
92,-76.61849534094277
93,-84.3700692511454
94,-94.05537181552896
95,-73.11095892790361
96,-62.253311985812466
97,-56.87147999506493
98,-48.68752025924071
99,-73.44875764991119
100,-56.67911029415391
101,-59.55535191749398
102,-68.27519908793337
103,-74.11074199042498
104,-84.18927267035295
105,-67.29076892840389
106,-64.52824777235818
107,-52.56589964002394
108,-81.40282902213394
109,-71.5563808260176
110,-64.80204658869033
111,-54.43890302729186
112,-82.64351069480873
113,-53.331454731980045
114,-65.04305930713436
115,-57.97245243486331
116,-64.12767664093101
117,-60.87002980613671
118,-72.85964981046153
119,-56.26050083601349
120,-98.48760953713504
121,-50.301522345417766
122,-73.86136829218657
123,-67.87638378580661
124,-69.61460180010623
125,-51.13127956789645
126,-53.35906595050376
127,-44.2677256793198
128,-66.04605565218363
129,-36.74317314892171
130,-49.23933870719859
131,-52.13301559250268
132,-48.21672862395742
133,-59.51575863889708
134,-86.17456640348927
135,-58.64720447004485
136,-62.98203441227405
137,-55.004180258021925
138,-65.70517324313292
139,-75.88694939409604
140,-91.23836826583256
141,-50.49033396490445
142,-78.85908456449802
143,-82.50685615496727
144,-59.547290343492136
145,-53.057602840246
146,-62.074042841072846
147,-62.551417227732074
148,-61.14677270718984
149,-71.52548445068058
150,-62.03189936436114
151,-84.93775910390829
152,-69.07384721213059
153,-64.87036642255416
154,-60.01388953666958
155,-63.91785651555044
156,-61.38350639127127
157,-62.46925922895679
158,-75.81614993133155
159,-57.211300562009875
160,-75.44969511442214
161,-86.9522112111907
162,-57.476037597712036
163,-89.46645287300774
164,-68.55778500259717
165,-45.641543234557034
166,-68.68098179003114
167,-59.13194451789074
168,-83.1441130815177
