,Value
0,-87.54866920474726
1,-93.18754962080502
2,-84.31757999097772
3,-83.0151301277134
4,-99.94723560262341
5,-71.47667766719121
6,-65.21810225541482
7,-70.33157047525283
8,-88.68596789099908
9,-99.40711717746969
10,-68.13991002531765
11,-77.71106239510306
12,-74.78056792734243
13,-101.60335422031224
14,-63.246514559813235
15,-107.46284186858475
16,-72.00914687130349
17,-89.17359576689864
18,-107.85092233347048
19,-134.68441465929075
20,-85.20817043926931
21,-92.80847723499808
22,-83.21553128755724
23,-73.58402082967177
24,-46.688121282679376
25,-100.49029238284666
26,-84.44686158327556
27,-54.811184458829324
28,-74.96246547049083
29,-86.28028856773807
30,-86.78479318824103
31,-86.64395566279136
32,-78.22795660107779
33,-49.351277837473496
34,-93.23626042938636
35,-70.834089373961
36,-69.10517563088621
37,-47.99631641521229
38,-58.15438279951915
39,-57.41076976717653
40,-76.23694783813336
41,-66.18851577252973
42,-64.45506591843335
43,-59.5506910156505
44,-71.14438485313676
45,-72.72481361593607
46,-47.422852937405864
47,-58.16038456871267
48,-46.99073675696054
49,-54.32567915412919
50,-55.98571058709283
51,-69.45022109986397
52,-53.75807431856926
53,-54.05375421253784
54,-45.00519652437209
55,-88.1385088026395
56,-58.7393397117436
57,-64.93639693649938
58,-51.88455501075548
59,-48.963564610959125
60,-52.73349808412581
61,-57.45449651448465
62,-74.50572537411203
63,-62.068917109214375
64,-55.19051306409258
65,-69.7591215833255
66,-65.83475457676168
67,-56.826249327280685
68,-87.30909329728959
69,-54.14726917944516
70,-68.78105044685256
71,-61.144595871904016
72,-73.13348201291872
73,-78.87373635918249
74,-44.58802082079777
75,-86.39872755404329
76,-36.22522787758525
77,-61.75040622426707
78,-51.821459177676715
79,-57.52660329919327
80,-79.13720714889791
81,-72.68928858260387
82,-68.2183135504098
83,-51.34002380374809
84,-74.27983261241936
85,-57.385122127364546
86,-84.4073427908607
87,-71.470376541326
88,-68.85420698696872
89,-94.88555826621361
90,-80.27663306373825
91,-63.57711181170036
92,-75.5984953409428
93,-83.51006925114552
94,-94.74537181552915
95,-72.0109589279035
96,-62.86331198581248
97,-59.441479995064846
98,-50.98752025924049
99,-73.26875764991115
100,-55.74911029415409
101,-58.855351917493934
102,-67.03519908793336
103,-72.8407419904249
104,-83.02927267035298
105,-65.9007689284038
106,-63.09824777235823
107,-51.24589964002401
108,-78.582829022134
109,-70.43638082601746
110,-64.77204658869029
111,-53.028903027291925
112,-80.49351069480866
113,-51.40145473197998
114,-63.84305930713426
115,-56.60245243486342
116,-61.50767664093139
117,-59.920029806136746
118,-72.00964981046154
119,-55.39050083601346
120,-96.51760953713502
121,-48.341522345417765
122,-73.35136829218662
123,-67.29638378580653
124,-68.59460180010612
125,-48.701279567896286
126,-52.089065950503745
127,-42.397725679319784
128,-65.50605565218358
129,-37.323173148921704
130,-49.08933870719841
131,-51.80301559250269
132,-48.06672862395739
133,-59.705758638897066
134,-86.98456640348904
135,-57.82720447004493
136,-61.232034412274075
137,-54.5341802580219
138,-65.04517324313301
139,-76.79694939409619
140,-90.33836826583259
141,-50.65033396490442
142,-78.41908456449804
143,-82.86685615496715
144,-60.107290343492174
145,-53.457602840246025
146,-61.81404284107286
147,-63.15141722773221
148,-60.45677270718996
149,-71.5254844506807
150,-62.641899364361095
151,-84.94775910390817
152,-68.19384721213059
153,-64.36036642255426
154,-58.89388953666962
155,-63.207856515550404
156,-60.73350639127127
157,-61.919259228956854
158,-74.6461499313315
159,-56.81130056200984
160,-74.91969511442205
161,-86.39221121119064
162,-56.79603759771203
163,-89.00645287300765
164,-68.49778500259706
165,-47.081543234556975
166,-68.28098179003089
167,-60.401944517890854
168,-84.93411308151738
169,-71.88456079362291
170,-63.48381004691264
171,-51.67967170576763
172,-58.46510119449171
173,-70.19302169892505
174,-70.63691621902198
175,-70.06607152835377
176,-47.997341661176236
177,-61.15527628719296
178,-82.33370529592523
179,-61.35346742799196
180,-68.43721447018092
181,-76.27420583839118
182,-54.53012129304956
183,-50.22593649413925
184,-48.55239517818538
185,-64.45900698195354
186,-61.420311298912694
187,-59.66294168970554
188,-79.30615925386458
189,-60.63225770840205
