,Value
0,-99.12866920474733
1,-92.7775496208048
2,-85.00757999097755
3,-84.31513012771342
4,-101.2072356026236
5,-73.2566776671911
6,-65.06810225541491
7,-70.88157047525283
8,-89.80596789099909
9,-99.45711717746963
10,-67.46991002531766
11,-76.54106239510345
12,-74.31056792734225
13,-98.723354220312
14,-62.75651455981318
15,-106.1828418685852
16,-71.04914687130355
17,-88.8435957668986
18,-106.63092233347064
19,-134.16441465929066
20,-85.27817043926925
21,-92.55847723499787
22,-82.15553128755752
23,-73.37402082967178
24,-45.72812128267944
25,-101.44029238284668
26,-82.13686158327549
27,-54.30118445882912
28,-74.60246547049084
29,-84.91028856773775
30,-86.10479318824102
31,-86.38395566279142
32,-77.34795660107788
33,-50.29127783747349
34,-93.33626042938639
35,-70.99408937396112
36,-67.9951756308861
37,-47.55631641521235
38,-56.664382799519345
39,-57.48076976717656
40,-76.96694783813355
41,-66.04851577252954
42,-64.70506591843339
43,-59.920691015650405
44,-70.62438485313695
45,-74.25481361593606
46,-47.4128529374058
47,-58.290384568713066
48,-46.86073675696072
49,-55.46567915412917
50,-57.57571058709283
51,-70.91022109986389
52,-56.01807431856922
53,-55.50375421253792
54,-45.03519652437202
55,-91.03850880263933
56,-60.07933971174363
57,-66.92639693649919
58,-52.52455501075549
59,-48.783564610959175
60,-52.21349808412574
61,-58.504496514484785
62,-74.30572537411209
63,-62.01891710921419
64,-56.3205130640924
65,-70.4291215833255
66,-67.40475457676163
67,-56.68624932728078
68,-88.24909329728959
69,-57.15726917944512
70,-70.46105044685262
71,-62.15459587190397
72,-74.54348201291867
73,-79.96373635918256
74,-44.97802082079782
75,-87.04872755404334
76,-39.10522787758545
77,-63.47040622426721
78,-54.27145917767679
79,-59.89660329919335
80,-79.76720714889784
81,-73.60928858260397
82,-70.58831355040982
83,-51.35002380374806
84,-75.32983261241934
85,-59.66512212736454
86,-85.50734279086058
87,-72.93037654132607
88,-69.58420698696872
89,-96.04555826621345
90,-79.87663306373805
91,-64.83711181170042
92,-76.86849534094279
93,-84.55006925114552
94,-94.85537181552895
95,-73.60095892790359
96,-61.8833119858124
97,-57.57147999506485
98,-49.36752025924061
99,-73.38875764991114
100,-56.54911029415395
101,-59.43535191749396
102,-68.0551990879334
103,-73.54074199042495
