,Value
0,-87.91866920474739
1,-91.02754962080462
2,-82.6575799909779
3,-80.04513012771329
4,-97.93723560262322
5,-71.306677667191
6,-63.83810225541483
7,-67.93157047525288
8,-88.31596789099942
9,-97.01711717746996
10,-64.79991002531766
11,-76.11106239510366
12,-74.5405679273422
13,-99.90335422031205
14,-61.6165145598133
15,-108.13284186858486
16,-68.21914687130366
17,-87.70359576689873
18,-106.97092233347057
19,-134.07441465929088
20,-84.95817043926931
21,-90.89847723499808
22,-80.9855312875576
23,-71.50402082967182
24,-43.55812128267946
25,-98.6302923828465
26,-79.51686158327544
27,-51.92118445882917
28,-72.21246547049091
29,-82.54028856773782
30,-86.37479318824113
31,-83.92395566279143
32,-75.06795660107767
33,-46.841277837473385
34,-90.7862604293865
35,-68.00408937396104
36,-66.01517563088609
37,-44.50631641521237
38,-53.99438279951939
39,-54.600769767176516
40,-74.47694783813355
41,-63.568515772529416
42,-61.15506591843344
43,-55.62069101565038
44,-68.76438485313687
45,-70.76481361593619
46,-45.00285293740577
47,-55.640384568713344
48,-44.12073675696075
49,-52.86567915412919
50,-53.525710587092725
51,-67.00022109986388
52,-54.328074318569385
53,-51.72375421253787
54,-43.0051965243719
55,-87.11850880263957
56,-56.91933971174359
57,-63.44639693649922
58,-49.33455501075542
59,-49.55356461095911
60,-52.64349808412571
61,-58.61449651448472
62,-72.91572537411191
63,-61.34891710921422
64,-54.510513064092336
65,-67.19912158332545
66,-65.55475457676151
67,-54.02624932728073
68,-85.75909329728955
69,-53.337269179445194
70,-68.24105044685246
71,-60.934595871904094
72,-72.97348201291874
73,-77.2737363591824
74,-43.32802082079779
75,-85.68872755404333
76,-38.38522787758542
77,-63.30040622426726
78,-53.7314591776769
79,-61.20660329919353
80,-79.31720714889795
81,-73.63928858260358
82,-68.25831355040972
83,-52.120023803748225
84,-72.9198326124191
85,-59.68512212736438
86,-86.28734279086069
87,-73.08037654132605
88,-67.05420698696875
89,-95.55555826621352
90,-78.94663306373833
91,-63.2871118117003
92,-73.82849534094275
93,-81.85006925114547
94,-94.02537181552914
95,-69.81095892790351
96,-59.533311985812404
97,-56.02147999506485
98,-47.467520259240494
99,-71.82875764991114
100,-56.53911029415408
101,-57.45535191749401
102,-65.69519908793346
103,-71.32074199042492
104,-83.05927267035301
105,-64.63076892840375
106,-62.458247772358334
107,-51.87589964002401
108,-78.11282902213404
109,-68.45638082601761
110,-62.55204658869034
111,-51.21890302729198
112,-78.18351069480869
113,-50.86145473198009
114,-61.16305930713446
115,-56.26245243486346
116,-61.32767664093135
117,-59.670029806136824
118,-70.51964981046136
119,-53.79050083601352
120,-95.17760953713507
121,-48.33152234541782
122,-71.60136829218656
123,-64.78638378580673
124,-68.06460180010619
125,-49.35127956789615
126,-50.36906595050385
127,-43.41772567931979
128,-62.66605565218356
129,-34.49317314892163
