,Value
0,-132.37697932530685
1,-134.40844866765025
2,-106.33679475347606
3,-139.19149028745767
4,-126.33079985179097
5,-115.45384933204193
6,-140.23343345296252
7,-112.07450039602179
8,-132.5533201218147
9,-117.49311137282061
10,-158.63361974198764
11,-145.50418792585572
12,-117.68767998489386
13,-89.4185799582385
14,-116.71507743725792
15,-100.51009882856474
16,-134.9108255748733
17,-143.83110543937073
18,-100.50547864590582
19,-136.0508181812706
20,-138.82720383893363
21,-116.07880244432269
22,-126.47133232150966
23,-98.75336772398072
24,-144.99758915133012
25,-97.97970571285627
26,-115.37844920487021
27,-106.05464187192642
28,-132.53636264565108
29,-106.95149646764484
30,-149.69456480220794
31,-99.45310301148677
32,-116.12339118660415
33,-119.83839182701817
34,-113.36398018622485
35,-108.82335432691335
36,-104.12826229707032
37,-89.82846536048046
38,-92.28115880837068
39,-112.24904350009736
40,-132.60944786981258
41,-135.8422777271674
42,-118.71274364176293
43,-110.98501615163757
44,-83.21720963496651
45,-113.7672505014363
46,-91.32710440793986
47,-84.34179443295226
48,-121.26998720055651
49,-126.51900025091643
50,-96.9458982463378
51,-136.05598957100273
52,-117.3749363074661
53,-93.93473269609008
54,-97.9082393494161
55,-117.68963396860731
56,-102.28408394023056
57,-146.0111943186938
58,-130.46743235627616
59,-131.49264159119858
60,-100.29052252279516
61,-106.26556247552294
62,-114.6479935035521
63,-101.77679466170771
64,-152.2049933370517
65,-94.74527452092858
66,-83.14534928868682
67,-133.34085984979166
68,-123.4917981461288
69,-100.97107523625857
70,-112.39452155565888
71,-147.15867103453758
72,-113.57775786947249
73,-111.0369243583388
74,-118.27146659532664
75,-113.66971016745288
76,-93.12067431404714
77,-114.96709886819853
78,-112.164296165276
79,-86.69934534103947
80,-127.70618323819527
81,-108.34979234844081
82,-103.38859778095632
83,-119.74956618048952
84,-109.13695213833084
85,-109.59442063350487
86,-92.70313710921862
87,-116.82255005608181
88,-115.04186917153842
89,-129.41705070929183
90,-77.54442422862826
91,-95.12147444120511
92,-150.3451572282951
93,-91.65347187513252
94,-107.23492582657457
95,-129.2582600682545
96,-71.59926785755549
97,-90.70884982905774
98,-122.85468352841986
99,-78.11945976192155
100,-94.85066109903758
101,-107.4059668983434
102,-67.67452056433108
103,-89.41548038409182
104,-63.44230289112615
105,-87.56364980069785
106,-93.8105216763481
107,-101.87209728829187
108,-100.0315026765256
109,-76.20667246188307
110,-80.25547492742095
111,-97.58062507808745
112,-101.47818448957314
113,-84.26169718407634
114,-100.89375720488188
115,-122.65707556468631
116,-83.39680292498828
117,-100.7975775240416
118,-89.7486758105203
119,-64.81677843202789
120,-73.33748403367011
121,-66.86115439554466
122,-79.70604120039185
123,-79.85181306986819
124,-78.86899776360715
125,-103.12744747164481
126,-74.04163294985914
127,-61.98203639889547
128,-94.65718874495103
129,-77.1159795338231
130,-96.80478276195494
131,-55.807604249609334
132,-71.85015396132475
133,-113.94484201314678
134,-81.55925083384943
135,-71.2718630249602
136,-72.93215348909408
137,-88.93127609322326
138,-88.67355137658079
139,-98.8396813497101
140,-106.03566057343824
141,-89.54944056668813
142,-78.49867048356921
143,-71.07458433416033
144,-61.259018392291864
145,-74.15267711572554
146,-95.69848781002995
147,-99.71500094378558
148,-118.93141008751184
149,-68.5575271004882
150,-112.3298029205849
151,-82.4062574800931
152,-106.90192832988302
153,-95.34893770890953
154,-118.06705877340782
155,-74.85509218989915
156,-76.153734455112
157,-75.307013998126
158,-86.04857577575436
159,-161.0390092895796
160,-85.57641794355192
161,-125.29322834199711
162,-107.2457873824505
163,-101.81814348799358
164,-118.38340923792953
165,-105.04772476411215
166,-98.74819645062192
167,-86.38680987156211
168,-68.8611055516136
169,-79.26321358506914
170,-73.56617226667781
171,-65.16332629619127
172,-84.97174295742987
173,-53.29577359069439
174,-87.80935794244415
175,-93.52778337537276
176,-114.3952108217056
177,-73.68908925535027
178,-94.17356490690864
179,-69.23644476031332
180,-83.3088761721046
181,-62.49084974495334
182,-66.71411022525739
183,-104.40192396079598
184,-50.6608359807977
185,-58.51553030618794
186,-71.55720078704299
187,-81.01121693191604
188,-74.1838771709623
189,-84.40970671929038
190,-89.47730008777086
191,-72.5661624620195
192,-60.61539499611018
193,-72.86795014372903
194,-77.83279328868994
195,-49.096250470486375
196,-80.43975435711846
197,-74.41863181154292
198,-63.37450415555096
199,-81.14996327669489
200,-90.23230186301416
201,-67.39008120065007
202,-82.21721511345557
203,-83.65015761137872
204,-55.406935674782744
205,-46.211579630368774
206,-75.33854559424489
207,-86.81258166731192
208,-84.11364315556827
209,-64.89437100690334
210,-66.64445855251522
211,-78.27346084926128
212,-100.9699168754981
213,-76.42837725034654
214,-55.114221996861815
215,-50.819648765010115
216,-54.69401227368555
217,-44.74301875067704
218,-83.20750913081646
219,-92.75621711655958
220,-72.68039855161115
221,-92.61117783741318
222,-65.10005482510707
223,-65.00117247897843
224,-87.88605213544501
225,-57.46655838171631
226,-62.85163476939149
227,-63.84099779004962
228,-109.30349649431855
229,-53.150340070032236
230,-86.45702207211288
231,-66.19279360280186
232,-71.8000168213189
233,-60.13324863840718
234,-84.74790406119425
235,-105.18305156930766
236,-68.50295683676033
237,-60.89350194956304
238,-62.36659724373499
239,-62.05963785785917
240,-68.85794784749467
241,-75.4780749226255
242,-90.04484950286977
243,-92.911444606774
244,-81.96251035825877
245,-67.53545384085922
246,-62.27778713133834
247,-80.27808412650333
248,-102.92457079827997
249,-92.26644004359098
250,-68.74369350139781
251,-80.73689891018441
252,-69.57822945369665
253,-67.99554588805138
254,-85.62983782533037
255,-85.39096557282411
256,-49.96227498127866
257,-67.94477433438861
258,-81.7520974442577
259,-56.07474006442351
260,-63.657364192315654
261,-114.71105707872682
262,-41.831313149553836
263,-79.64065979233469
264,-68.1402797713237
265,-48.018886795291316
266,-98.12797162165845
267,-52.69090842514352
268,-74.57383782854265
269,-58.50206861348622
270,-78.81454577579953
271,-61.221856227491045
272,-46.92018187749351
273,-65.8547565205449
274,-66.51930775125888
275,-67.69495828070418
276,-89.74169421263062
277,-59.598831064766685
278,-36.72931575994244
279,-66.53108278067373
280,-81.0258717986687
281,-84.02817297629579
282,-65.43434217503685
283,-68.7411643545645
284,-73.27568531972385
285,-74.44102303781435
286,-63.389460879378916
287,-60.45270278989041
288,-54.506910172397944
289,-54.61576342410034
290,-61.587385817604584
291,-59.72993208133454
292,-96.02842590457553
293,-63.74827647220326
294,-64.21932800230982
295,-84.21084204942869
296,-81.46431547408993
297,-51.06083111958044
298,-60.185836798974705
299,-64.79083147776049
