,Value
0,-132.096979325307
1,-137.57844866765112
2,-112.86679475347576
3,-140.87149028745813
4,-127.56079985179129
5,-116.44384933204256
6,-139.77343345296197
7,-110.34450039602189
8,-130.96332012181506
9,-115.80311137282118
10,-159.4036197419872
11,-142.2041879258565
12,-115.33767998489425
13,-87.23857995823887
14,-111.2450774372589
15,-96.17009882856439
16,-131.51082557487376
17,-142.51110543937108
18,-99.7754786459055
19,-134.2708181812694
20,-136.5572038389314
21,-113.34880244432239
22,-126.15133232151011
23,-96.63336772398046
24,-140.62758915132886
25,-96.02970571285606
26,-111.15844920487022
27,-102.72464187192695
28,-126.91636264565186
29,-105.7114964676445
30,-149.3145648022078
31,-98.9231030114868
32,-115.93339118660462
33,-124.1883918270174
34,-113.9239801862253
35,-107.56335432691257
36,-101.82826229707112
37,-88.86846536048024
38,-92.70115880837069
39,-112.4990435000963
40,-132.62944786981154
41,-136.53227772716713
42,-117.30274364176289
43,-109.04501615163682
44,-82.31720963496647
45,-113.66725050143648
46,-91.90710440793983
47,-83.22179443295127
48,-119.64998720055686
49,-126.40900025091673
50,-94.12589824633791
51,-136.2359895710018
52,-117.604936307466
53,-94.57473269609001
54,-99.66823934941701
55,-118.75963396860655
56,-103.54408394023002
57,-145.2211943186923
58,-131.28743235627542
59,-130.39264159119958
60,-101.46052252279581
61,-110.55556247552288
62,-115.28799350355177
63,-101.27679466170775
64,-150.38499333705153
65,-93.86527452092915
66,-82.53534928868724
67,-134.70085984979139
68,-122.351798146129
69,-101.93107523625864
70,-114.7145215556595
71,-148.4186710345354
72,-113.20775786947247
73,-108.3969243583385
74,-115.87146659532682
75,-112.18971016745266
76,-92.60067431404708
77,-114.01709886819943
78,-111.04429616527625
79,-87.56934534103996
80,-127.22618323819577
81,-108.46979234844075
82,-103.07859778095641
83,-121.56956618048896
84,-108.65695213833087
85,-109.81442063350487
86,-90.91313710921891
87,-116.28255005608199
88,-116.11186917153793
89,-129.6470507092923
90,-78.15442422862836
91,-95.75147444120486
92,-150.79515722829544
93,-90.63347187513219
94,-108.2949258265746
95,-129.05826006825384
96,-71.57926785755555
97,-91.11884982905771
98,-125.06468352841989
99,-78.63945976192164
100,-94.70066109903755
101,-107.7159668983433
102,-67.85452056433107
103,-89.72548038409178
104,-63.56230289112615
105,-88.07364980069805
106,-94.08052167634817
107,-102.0920972882919
108,-99.51150267652544
109,-74.58667246188271
110,-79.44547492742103
111,-96.29062507808733
112,-101.04818448957323
113,-83.04169718407618
114,-100.34375720488168
115,-122.5570755646861
116,-82.14680292498811
117,-100.91757752404168
118,-89.65867581052024
119,-65.44677843202815
120,-74.55748403367022
121,-65.59115439554472
122,-79.08604120039169
123,-81.31181306986862
124,-78.43899776360716
125,-104.55744747164499
126,-74.60163294985918
127,-61.262036398895376
128,-94.24718874495105
129,-77.21597953382313
130,-97.21478276195481
131,-56.0176042496092
132,-72.86015396132467
133,-114.17484201314706
134,-81.40925083384948
135,-71.36186302496012
136,-73.10215348909412
137,-88.75127609322317
138,-88.44355137658074
139,-98.82968134970966
140,-105.33566057343826
141,-89.95944056668826
142,-77.99867048356917
143,-70.66458433416031
144,-58.66901839229151
145,-73.01267711572554
146,-96.5384878100299
147,-98.84500094378555
148,-119.18141008751172
149,-67.95752710048828
150,-112.8198029205848
151,-81.38625748009302
152,-106.73192832988306
153,-93.74893770890964
154,-116.7270587734079
155,-73.77509218989901
156,-74.70373445511179
157,-75.37701399812602
158,-85.38857577575445
159,-160.86900928957968
160,-85.12641794355228
161,-125.4832283419972
162,-107.78578738245062
163,-101.23814348799388
164,-115.04340923792844
165,-100.52772476411229
166,-96.26819645062162
167,-86.28680987156197
168,-69.67110555161338
169,-77.4132135850689
170,-71.91617226667792
171,-65.2033262961917
172,-83.70174295742963
173,-53.455773590694534
174,-88.47935794244421
175,-93.53778337537264
176,-114.12521082170522
177,-74.47908925535027
178,-94.7935649069089
179,-70.0364447603134
180,-82.02887617210435
181,-61.02084974495349
182,-63.95411022525711
183,-103.05192396079613
184,-48.620835980797736
185,-57.48553030618787
186,-71.36720078704305
187,-80.10121693191607
188,-73.37387717096207
189,-84.30970671929042
190,-88.08730008777144
191,-70.78616246201912
192,-58.98539499611026
193,-71.12795014372887
194,-76.12279328868998
195,-46.48625047048593
196,-79.15975435711847
197,-72.27863181154287
198,-60.024504155550915
199,-79.37996327669477
200,-88.94230186301505
201,-65.61008120064973
202,-80.4672151134553
203,-82.86015761137881
204,-54.38693567478273
205,-44.10157963036871
206,-73.99854559424493
207,-86.62258166731202
208,-82.9736431555684
209,-64.94437100690337
210,-66.94445855251519
211,-78.57346084926128
212,-101.2999168754982
213,-76.69837725034665
214,-55.404221996861835
215,-51.05964876501007
216,-55.38401227368556
217,-45.25301875067705
218,-83.75750913081644
219,-92.82621711655949
220,-73.62039855161116
221,-92.93117783741319
222,-64.7100548251072
223,-65.61117247897838
224,-88.10605213544503
225,-57.20655838171628
226,-61.31163476939141
227,-61.31099779004926
228,-108.99349649431863
229,-52.11034007003224
230,-85.40702207211278
231,-62.74279360280267
232,-69.95001682131877
233,-57.75324863840706
234,-83.40790406119409
235,-104.92305156930777
236,-66.03295683676018
237,-58.73350194956301
238,-59.85659724373503
239,-59.969637857859155
240,-67.31794784749471
241,-74.3080749226253
242,-88.17484950286988
243,-92.451444606774
244,-80.66251035825877
245,-66.59545384085907
246,-60.04778713133853
247,-78.65808412650351
248,-102.70457079828
249,-91.0664400435908
250,-66.30369350139732
251,-79.78689891018425
252,-69.62822945369672
253,-67.62554588805132
254,-84.97983782533034
255,-84.02096557282415
256,-49.95227498127869
257,-67.01477433438863
258,-81.30209744425778
259,-54.524740064423405
260,-63.08736419231565
261,-114.53105707872676
262,-41.23131314955383
263,-79.50065979233463
264,-69.63027977132379
265,-50.16888679529139
266,-98.86797162165847
267,-54.32090842514359
268,-75.21383782854262
269,-58.97206861348616
270,-79.58454577579953
271,-61.61185622749108
272,-49.27018187749365
273,-66.74475652054477
274,-66.79930775125888
275,-68.23495828070418
276,-89.53169421263055
277,-61.12883106476664
278,-36.55931575994242
279,-67.44108278067345
280,-81.35587179866859
281,-83.73817297629581
282,-64.70434217503684
283,-68.66116435456456
284,-73.26568531972383
285,-74.30102303781428
286,-62.859460879378865
287,-59.72270278989041
288,-54.52691017239795
289,-54.76576342410033
290,-61.73738581760459
291,-59.90993208133449
292,-96.37842590457558
293,-64.07827647220327
294,-65.19932800230974
295,-84.30084204942858
296,-82.5043154740899
297,-50.920831119580406
298,-60.21583679897467
299,-65.19083147776045
